"id","cpuPercent","ramPercent","discoPercent"
1,2.4,40.5,33.3
2,0.0,40.5,33.3
3,0.0,40.5,33.3
4,2.5,40.5,33.3
5,7.3,40.5,33.3
6,2.5,40.5,33.3
7,5.0,40.5,33.3
8,7.5,40.5,33.3
9,17.5,40.5,33.3
10,5.1,40.5,33.3
11,2.4,40.5,33.3
12,2.5,40.5,33.3
13,4.9,40.5,33.3
14,0.0,40.5,33.3
15,2.5,40.5,33.3
16,0.0,40.5,33.3
17,0.0,40.5,33.3
18,5.0,40.5,33.3
19,12.5,40.5,33.3
20,0.0,40.5,33.3
21,2.6,40.5,33.3
22,0.0,40.5,33.3
23,2.4,40.5,33.3
24,2.5,40.5,33.3
25,0.0,40.5,33.3
26,0.0,40.5,33.3
27,0.0,40.5,33.3
28,0.0,40.5,33.3
29,7.1,40.5,33.3
30,7.3,40.4,33.3
31,0.0,40.4,33.3
32,4.9,40.4,33.3
33,2.5,40.4,33.3
34,0.0,40.4,33.3
35,4.9,40.4,33.3
36,0.0,40.4,33.3
37,2.5,40.4,33.3
38,0.0,40.4,33.3
39,7.1,40.4,33.3
40,0.0,40.4,33.3
41,0.0,40.4,33.3
42,5.0,40.4,33.3
43,0.0,40.4,33.3
44,0.0,40.4,33.3
45,2.5,40.4,33.3
46,0.0,40.4,33.3
47,0.0,40.4,33.3
48,2.6,40.4,33.3
49,2.5,40.4,33.3
50,0.0,40.4,33.3
51,0.0,40.4,33.3
52,2.5,40.4,33.3
53,2.5,40.4,33.3
54,15.4,40.4,33.3
55,2.5,40.4,33.3
56,7.9,40.4,33.3
57,9.8,40.4,33.3
58,20.5,40.5,33.3
59,39.0,40.6,33.3
60,52.5,40.7,33.3
61,50.0,40.7,33.3
62,57.5,40.7,33.3
63,61.5,40.7,33.3
64,65.0,40.7,33.3
65,53.8,40.7,33.3
66,81.0,40.6,33.3
67,7.5,40.6,33.3
68,26.8,40.6,33.3
69,18.4,40.6,33.3
70,2.5,40.6,33.3
71,52.6,40.6,33.3
72,73.2,40.7,33.3
73,43.6,40.7,33.3
74,43.6,40.7,33.3
75,65.0,40.7,33.3
76,33.3,40.7,33.3
77,46.2,40.8,33.3
78,50.0,40.8,33.3
79,38.1,40.8,33.3
80,21.6,40.8,33.3
81,20.0,40.8,33.3
82,16.7,40.8,33.3
83,19.5,40.8,33.3
84,14.6,40.8,33.3
85,2.6,40.8,33.3
86,10.5,40.7,33.3
87,2.5,40.6,33.3
88,7.1,40.6,33.3
89,2.5,40.6,33.3
90,4.9,40.6,33.3
91,0.0,40.6,33.3
92,2.6,40.6,33.3
93,7.3,40.6,33.3
94,12.8,40.6,33.3
95,15.4,40.5,33.3
96,17.9,40.5,33.3
97,15.4,40.5,33.3
98,12.8,40.5,33.3
99,10.5,40.5,33.3
100,15.0,40.5,33.3
101,18.4,40.5,33.3
102,15.4,40.6,33.3
103,5.4,40.6,33.3
104,7.5,40.6,33.3
105,4.9,40.6,33.3
106,7.5,40.5,33.3
107,4.9,40.5,33.3
108,5.1,40.5,33.3
109,9.8,40.5,33.3
110,5.1,40.5,33.3
111,0.0,40.5,33.3
112,2.5,40.5,33.3
113,10.5,40.5,33.3
114,7.3,40.5,33.3
115,5.1,40.4,33.3
116,0.0,40.4,33.3
117,9.8,40.4,33.3
118,2.6,40.4,33.3
119,7.5,40.3,33.3
120,10.0,40.3,33.3
121,4.9,40.3,33.3
122,0.0,40.3,33.3
123,5.1,40.3,33.3
124,2.6,40.3,33.3
125,2.6,40.3,33.3
126,0.0,40.3,33.3
127,5.1,40.3,33.3
128,0.0,40.3,33.3
129,2.6,40.3,33.3
130,2.6,40.3,33.3
131,5.3,40.3,33.3
132,7.3,40.3,33.3
133,5.1,40.3,33.3
134,5.0,40.3,33.3
135,2.5,40.3,33.3
136,2.6,40.3,33.3
137,2.6,40.3,33.3
138,7.3,40.3,33.3
139,4.9,40.3,33.3
140,2.5,40.3,33.3
141,5.1,40.3,33.3
142,5.1,40.3,33.3
143,5.4,40.2,33.3
144,5.0,40.3,33.3
145,5.1,40.3,33.3
146,2.6,40.2,33.3
